"Table with row headings in Column B and column headings are in rows 4-7, 89-92, 174-177, 259-262, 344-347. Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,,,
Table 4. Rental Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2020,Margin of Error1,Second         Quarter       2020,Margin of Error1,Third         Quarter       2020,Margin of Error1,Fourth         Quarter       2020,Margin of Error1,,,,,,,,,,
**,"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",5.8,2.1,7.8,2.4,7.8,2.4,8.3,2.5,,,,,,,,,,
**,"Dayton, OH...........................................................................................................................................................",11.3,8.9,13.2,9.0,13.7,10.0,8.1,6.2,,,,,,,,,,
*,"Denver-Aurora-Lakewood, CO9...............................................................................................................................",4.8,2.6,2.5,2.1,3.8,2.6,4.0,2.8,,,,,,,,,,
*,"Detroit-Warren-Dearborn, MI10....................................................................................................................",7.9,3.1,7.6,3.3,6.1,3.2,5.1,2.9,,,,,,,,,,
,"Fresno, CA………………………………………………",1.6,2.7,0.6,1.7,3.4,3.9,1.6,2.6,,,,,,,,,,
**,"Grand Rapids-Wyoming, MI....................................................................................................................................",3.9,5.8,3.9,5.7,4.8,5.6,13.1,8.7,,,,,,,,,,
,"Greensboro-High Point, NC............................................................................................................................",10.9,7.4,10.4,6.9,10.1,6.1,14.9,8.6,,,,,,,,,,
,"Hartford-West Hartford-East Hartford, CT................................................................................",5.0,4.2,3.3,3.4,6.7,4.9,3.1,3.3,,,,,,,,,,
**,"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",8.2,2.4,9.8,2.7,8.9,2.7,8.1,2.5,,,,,,,,,,
**,"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",9.4,4.5,10.2,4.8,6.8,3.8,13.2,5.2,,,,,,,,,,
,"Jacksonville, FL..........................................................................................................................................",6.9,4.8,2.2,2.7,7.4,4.8,5.7,4.3,,,,,,,,,,
**,"Kansas City, MO-KS.............................................................................................................................................",11.7,3.6,5.1,2.4,5.2,2.7,9.6,3.5,,,,,,,,,,
,"Knoxville, TN.............................................................................................................................................",9.8,7.8,12.9,8.2,4.4,4.3,4.4,4.6,,,,,,,,,,
*,"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",9.6,3.2,5.8,2.5,6.2,2.6,5.4,2.5,,,,,,,,,,
,"Little Rock-North Little Rock-Conway, AR..................................................................................................................",13.1,8.8,12.9,8.4,8.6,7.3,8.8,7.0,,,,,,,,,,
*,"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",4.2,1.2,4.2,1.2,3.7,1.1,3.7,1.1,,,,,,,,,,
**,"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",4.0,4.0,6.9,4.8,8.9,5.2,10.4,6.0,,,,,,,,,,
**,"Memphis, TN-AR-MS.............................................................................................................................................",8.7,5.3,12.3,5.9,8.5,5.0,16.5,6.4,,,,,,,,,,
*,"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",6.9,2.5,6.4,2.3,8.1,2.5,8.1,2.7,,,,,,,,,,
,"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",6.0,4.0,7.0,4.4,4.4,3.9,6.0,4.5,,,,,,,,,,
**,"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",3.5,2.5,4.7,2.7,4.4,2.8,3.7,2.6,,,,,,,,,,
**,"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",9.1,4.5,5.7,3.7,8.7,4.5,6.4,3.9,,,,,,,,,,
,"New Haven-Milford, CT..............................................................................................................................................................",5.5,5.2,7.6,6.2,7.2,6.2,2.4,3.5,,,,,,,,,,
**,"New Orleans-Metairie, LA.18....................................................................................................................................",11.1,4.3,12.0,4.4,8.1,3.8,6.9,3.9,,,,,,,,,,
**,"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",4.0,0.9,4.5,1.0,5.2,1.0,4.3,1.0,,,,,,,,,,
,"North Port-Bradenton-Sarasota, FL.......................................................................................................",5.3,6.2,6.6,6.7,5.9,6.8,11.5,9.0,,,,,,,,,,
,"Oklahoma City, OK.............................................................................................................................................................................",12.2,4.9,14.0,5.4,13.0,5.0,8.0,4.2,,,,,,,,,,
,"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",4.8,3.2,6.2,3.8,8.0,4.2,9.0,4.1,,,,,,,,,,
*,"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",6.3,3.8,7.3,4.0,5.6,3.4,4.0,3.1,,,,,,,,,,
,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",5.8,2.4,4.9,2.3,7.8,2.9,7.1,2.7,,,,,,,,,,
,"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",4.6,2.4,6.9,2.8,7.9,3.1,5.6,2.7,,,,,,,,,,
,"Pittsburgh, PA.....................................................................................................................................................................................................",7.8,5.0,7.1,4.6,5.2,3.7,5.3,3.7,,,,,,,,,,
,"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",3.6,2.0,4.8,2.5,4.5,2.4,2.4,1.7,,,,,,,,,,
*,"Providence-Warwick, RI-MA23.........................................................................................................................",7.1,2.3,3.7,1.7,5.5,2.1,3.9,1.7,,,,,,,,,,
*,"Raleigh, NC24............................................................................................................................................................................",6.7,5.3,7.5,5.7,7.6,5.2,3.9,3.9,,,,,,,,,,
**,"Richmond, VA.........................................................................................................................................................................",6.6,5.0,5.5,4.8,4.4,4.3,5.1,4.6,,,,,,,,,,
*,"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",4.0,2.4,6.1,2.7,4.7,2.7,5.4,2.8,,,,,,,,,,
**,"Rochester, NY...........................................................................................................................................................................................",7.5,5.6,5.3,4.7,5.9,5.4,3.6,4.3,,,,,,,,,,
,"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",5.6,3.3,5.4,3.5,3.3,3.1,5.7,3.9,,,,,,,,,,
**,"St. Louis, MO-IL..................................................................................................................................................................................",9.6,3.7,5.6,3.1,6.9,3.7,6.6,3.8,,,,,,,,,,
**,"Salt Lake City, UT....................................................................................................................................................................",6.6,4.2,7.5,4.4,5.1,3.5,5.0,3.8,,,,,,,,,,
*,"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",7.6,4.1,8.6,4.5,5.5,3.6,7.8,4.5,,,,,,,,,,
*,"San Diego-Carlsbad, CA27.................................................................................................................................",4.8,2.5,4.8,2.6,3.9,2.5,4.4,2.5,,,,,,,,,,
*,"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",4.3,2.1,5.5,2.4,6.7,2.5,4.9,2.2,,,,,,,,,,
,"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",6.3,3.6,3.6,2.8,3.8,3.0,4.6,3.1,,,,,,,,,,
*,"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",4.6,2.4,4.1,2.3,5.5,2.6,5.0,2.5,,,,,,,,,,
,"Syracuse, NY………………………………………….",2.4,4.1,3.7,5.3,5.3,7.0,14.7,12.0,,,,,,,,,,
,"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",9.9,4.0,11.8,4.4,9.0,3.8,9.0,3.9,,,,,,,,,,
**,"Toledo, OH………………………………………………..",6.7,7.2,8.1,9.3,22.9,13.5,13.8,10.3,,,,,,,,,,
,"Tucson, AZ ..........................................................................................................................................................................................................",3.9,4.5,4.0,4.6,6.5,5.2,2.9,4.0,,,,,,,,,,
,"Tulsa, OK....................................................................................................................................................................................................",11.0,5.9,8.2,5.0,14.1,6.7,7.3,4.9,,,,,,,,,,
,"Urban Honolulu, HI29..................................................................................................................................",8.2,3.1,7.8,2.8,4.4,2.3,5.4,2.6,,,,,,,,,,
**,"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",5.2,4.0,6.2,4.5,8.5,5.0,8.8,5.4,,,,,,,,,,
**,"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",7.7,2.7,5.5,2.2,6.8,2.5,4.8,2.1,,,,,,,,,,
**,"Worcester, MA.........................................................................................................................................................................................",4.4,4.4,1.8,2.6,2.8,3.6,1.6,2.7,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Table 4. Rental Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020 - Continued,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2017,Margin of Error1,Second         Quarter       2017,Margin of Error1,Third         Quarter       2017,Margin of Error1,Fourth         Quarter       2017,Margin of Error1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"Akron, OH ................................................................................................................",7.9,8.5,7.7,7.8,3.0,5.1,1.0,2.9,,,,,,,,,,
,"Albany-Schenectady-Troy, NY .....................................................................",9.8,8.2,12.5,8.7,4.0,4.8,8.5,6.5,,,,,,,,,,
,"Albuquerque, NM...................................................................................................",9.7,3.8,9.6,4.0,10.4,3.9,6.3,3.2,,,,,,,,,,
,"Allentown-Bethlehem-Easton, PA-NJ..................................................................",3.0,5.3,1.2,3.6,5.4,7.2,10.8,9.4,,,,,,,,,,
**,"Atlanta-Sandy Springs-Roswell, GA1....................................................",4.6,2.2,7.1,2.5,7.3,2.6,8.8,2.8,,,,,,,,,,
,"Austin-Round Rock, TX.....................................................................................................",6.6,4.0,7.4,4.1,3.2,2.6,7.4,4.0,,,,,,,,,,
*,"Baltimore-Columbia-Towson, MD2.....................................................................................................",9.4,4.7,6.0,3.7,9.8,4.8,6.4,3.6,,,,,,,,,,
,"Baton Rouge, LA……………………………………….",4.3,3.9,5.7,4.4,10.5,5.5,13.8,6.5,,,,,,,,,,
,"Birmingham-Hoover, AL......................................................................................................",11.7,5.0,21.2,7.3,19.2,7.1,12.3,5.8,,,,,,,,,,
*,"Boston-Cambridge-Newton, MA-NH3...................................................................................",5.5,2.1,3.9,1.7,4.1,1.7,5.6,2.0,,,,,,,,,,
,"Bridgeport-Stamford-Norwalk, CT.....................................................................",10.4,7.6,7.0,5.9,7.6,6.0,11.6,7.3,,,,,,,,,,
*,"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",7.1,5.7,3.7,3.8,3.4,4.0,12.2,7.3,,,,,,,,,,
,"Cape Coral-Fort Myers, FL...................................................................................",1.8,4.0,6.7,7.8,0.9,2.9,10.1,11.5,,,,,,,,,,
,"Charleston-North Charleston-Summerville, SC....................................................................................................",18.8,10.3,18.7,9.6,17.0,8.1,17.6,8.7,,,,,,,,,,
**,"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",3.1,2.8,5.7,3.6,7.9,4.0,4.4,3.4,,,,,,,,,,
*,"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",6.7,2.0,8.0,2.1,8.5,2.2,4.9,1.7,,,,,,,,,,
**,"Cincinnati, OH-KY-IN7............................................................................................",6.9,3.9,8.5,4.8,8.0,4.5,7.1,4.1,,,,,,,,,,
*,"Cleveland-Elyria, OH8..............................................................................................",12.3,5.4,9.0,4.6,5.1,3.5,5.3,3.7,,,,,,,,,,
,"Columbia, SC………………………………………….",6.4,6.2,4.4,5.5,7.7,6.4,6.3,5.3,,,,,,,,,,
**,"Columbus, OH............................................................................................................................................",8.3,4.2,5.4,3.6,4.0,3.1,7.4,4.2,,,,,,,,,,
**,"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",6.4,2.2,8.0,2.4,7.4,2.3,6.6,2.3,,,,,,,,,,
**,"Dayton, OH...........................................................................................................................................................",5.7,6.3,8.2,7.5,13.9,10.0,2.0,3.4,,,,,,,,,,
*,"Denver-Aurora-Lakewood, CO9...............................................................................................................................",4.5,2.6,6.7,3.4,4.8,3.0,7.5,3.4,,,,,,,,,,
*,"Detroit-Warren-Dearborn, MI10....................................................................................................................",8.0,3.2,7.3,3.3,8.3,3.5,8.6,3.5,,,,,,,,,,
,"Fresno, CA………………………………………………",5.5,5.6,2.2,2.9,3.6,3.9,1.9,2.8,,,,,,,,,,
**,"Grand Rapids-Wyoming, MI....................................................................................................................................",3.9,5.8,2.7,4.8,3.4,4.5,5.8,6.0,,,,,,,,,,
,"Greensboro-High Point, NC............................................................................................................................",15.3,8.4,7.5,6.2,6.9,5.6,11.4,6.7,,,,,,,,,,
,"Hartford-West Hartford-East Hartford, CT................................................................................",4.8,3.9,5.9,4.8,4.7,4.9,6.1,4.7,,,,,,,,,,
**,"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",11.3,2.9,8.7,2.5,10.3,2.8,9.4,2.6,,,,,,,,,,
**,"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",9.8,4.6,12.0,5.4,10.7,4.6,15.0,5.3,,,,,,,,,,
,"Jacksonville, FL..........................................................................................................................................",8.0,5.9,3.2,3.5,14.8,6.8,7.5,4.9,,,,,,,,,,
**,"Kansas City, MO-KS.............................................................................................................................................",14.0,3.8,8.9,3.2,6.8,2.8,7.4,3.0,,,,,,,,,,
,"Knoxville, TN.............................................................................................................................................",10.7,7.1,6.5,5.5,8.8,6.4,5.7,5.1,,,,,,,,,,
*,"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",7.8,2.8,6.4,2.6,6.7,2.6,7.1,2.7,,,,,,,,,,
,"Little Rock-North Little Rock-Conway, AR..................................................................................................................",8.3,7.3,13.5,8.6,10.0,7.3,13.1,8.3,,,,,,,,,,
*,"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",3.6,1.1,3.8,1.1,5.3,1.3,3.7,1.1,,,,,,,,,,
**,"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",9.4,5.9,7.7,5.4,7.7,5.3,6.3,5.2,,,,,,,,,,
**,"Memphis, TN-AR-MS.............................................................................................................................................",8.9,5.3,7.9,4.5,9.6,5.1,16.0,6.7,,,,,,,,,,
*,"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",6.1,2.4,6.0,2.3,8.3,2.6,7.6,2.5,,,,,,,,,,
,"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",7.5,4.4,7.8,4.8,1.9,2.8,8.3,5.9,,,,,,,,,,
**,"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",4.5,3.0,4.1,2.9,3.3,2.4,4.7,2.9,,,,,,,,,,
**,"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",8.4,4.7,9.6,5.0,7.4,4.2,5.5,3.5,,,,,,,,,,
,"New Haven-Milford, CT..............................................................................................................................................................",9.9,6.8,6.8,5.6,4.5,4.4,7.0,5.2,,,,,,,,,,
**,"New Orleans-Metairie, LA.18....................................................................................................................................",9.8,4.4,11.3,4.3,11.4,4.2,10.7,4.4,,,,,,,,,,
**,"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",4.8,1.0,4.6,1.0,4.9,1.0,4.0,0.9,,,,,,,,,,
,"North Port-Bradenton-Sarasota, FL.......................................................................................................",6.8,7.5,5.3,6.2,0.0,0.0,10.5,8.5,,,,,,,,,,
,"Oklahoma City, OK.............................................................................................................................................................................",10.7,4.7,11.5,5.5,7.8,4.1,10.0,4.4,,,,,,,,,,
,"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",4.0,2.9,4.6,3.2,4.7,3.2,5.4,3.2,,,,,,,,,,
*,"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",6.1,3.6,7.1,3.7,6.7,3.9,8.1,4.4,,,,,,,,,,
,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",7.9,2.8,6.5,2.6,6.9,2.6,7.7,2.7,,,,,,,,,,
,"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",4.7,2.4,8.2,2.9,6.7,2.8,4.2,2.4,,,,,,,,,,
,"Pittsburgh, PA.....................................................................................................................................................................................................",6.8,4.3,13.1,6.2,10.9,5.5,8.5,4.8,,,,,,,,,,
,"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",3.9,2.2,6.7,2.9,6.2,2.8,2.6,1.9,,,,,,,,,,
*,"Providence-Warwick, RI-MA23.........................................................................................................................",4.6,1.9,4.7,1.8,3.4,1.6,4.2,1.8,,,,,,,,,,
*,"Raleigh, NC24............................................................................................................................................................................",4.4,4.7,4.3,4.6,8.6,6.6,5.9,5.6,,,,,,,,,,
**,"Richmond, VA.........................................................................................................................................................................",7.0,5.5,10.7,7.3,5.6,5.0,6.0,5.1,,,,,,,,,,
*,"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",6.7,3.0,6.6,2.9,5.2,2.6,3.8,2.3,,,,,,,,,,
**,"Rochester, NY...........................................................................................................................................................................................",5.1,4.8,4.2,4.6,9.3,6.7,7.6,5.9,,,,,,,,,,
,"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",1.2,1.6,5.9,3.5,5.8,3.7,4.5,3.3,,,,,,,,,,
**,"St. Louis, MO-IL..................................................................................................................................................................................",4.9,2.8,8.1,3.7,9.8,4.2,9.2,4.1,,,,,,,,,,
**,"Salt Lake City, UT....................................................................................................................................................................",3.8,3.4,6.0,3.8,9.3,4.7,5.2,3.7,,,,,,,,,,
*,"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",13.4,5.2,10.0,4.6,10.1,4.8,12.5,5.4,,,,,,,,,,
*,"San Diego-Carlsbad, CA27.................................................................................................................................",3.6,2.3,3.6,2.3,5.8,2.8,2.7,2.0,,,,,,,,,,
*,"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",4.3,2.1,4.4,2.1,3.3,1.9,4.8,2.2,,,,,,,,,,
,"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",5.4,3.4,3.5,3.0,2.4,2.3,1.4,1.8,,,,,,,,,,
*,"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",1.9,1.5,4.7,2.4,3.6,2.1,3.4,2.0,,,,,,,,,,
,"Syracuse, NY………………………………………….",13.6,9.9,3.5,4.7,5.2,6.4,4.1,6.0,,,,,,,,,,
,"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",10.6,4.1,10.6,3.9,9.6,3.7,7.8,3.4,,,,,,,,,,
**,"Toledo, OH………………………………………………..",4.6,6.0,8.8,8.0,12.6,9.7,12.8,10.7,,,,,,,,,,
,"Tucson, AZ ..........................................................................................................................................................................................................",7.9,5.5,8.5,5.9,6.8,5.1,4.0,4.6,,,,,,,,,,
,"Tulsa, OK....................................................................................................................................................................................................",9.9,5.2,6.0,4.6,8.5,5.2,9.3,5.6,,,,,,,,,,
,"Urban Honolulu, HI29..................................................................................................................................",9.4,3.3,8.6,2.8,7.3,2.6,6.9,2.8,,,,,,,,,,
**,"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",8.6,5.6,8.1,5.3,10.1,5.7,5.8,4.5,,,,,,,,,,
**,"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",6.0,2.4,6.1,2.4,6.7,2.6,6.1,2.5,,,,,,,,,,
**,"Worcester, MA.........................................................................................................................................................................................",4.1,4.2,3.8,3.9,3.5,4.0,4.3,5.3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Table 4. Rental Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020 - Continued,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2016,Margin of Error2,Second         Quarter       2016,Margin of Error1,Third         Quarter       2016,Margin of Error1,Fourth         Quarter       2016,Margin of Error1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"Akron, OH ................................................................................................................",12.4,9.1,10.9,10.9,8.0,10.0,5.2,8.0,,,,,,,,,,
,"Albany-Schenectady-Troy, NY .....................................................................",3.9,4.5,3.3,4.6,4.4,5.2,3.6,4.6,,,,,,,,,,
,"Albuquerque, NM...................................................................................................",6.4,3.5,5.9,3.3,8.1,3.8,11.6,4.3,,,,,,,,,,
,"Allentown-Bethlehem-Easton, PA-NJ..................................................................",5.0,5.4,2.6,4.9,4.5,6.4,4.6,6.7,,,,,,,,,,
**,"Atlanta-Sandy Springs-Roswell, GA1....................................................",5.3,2.0,7.6,2.8,5.7,2.4,6.4,2.6,,,,,,,,,,
,"Austin-Round Rock, TX.....................................................................................................",3.2,2.5,4.9,3.6,6.9,4.1,6.7,4.1,,,,,,,,,,
*,"Baltimore-Columbia-Towson, MD2.....................................................................................................",10.5,4.3,6.6,4.1,5.3,3.8,7.9,4.5,,,,,,,,,,
,"Baton Rouge, LA……………………………………….",10.0,6.9,6.4,4.4,8.5,5.5,4.7,4.1,,,,,,,,,,
,"Birmingham-Hoover, AL......................................................................................................",16.6,7.4,14.4,6.6,17.1,6.9,12.3,5.8,,,,,,,,,,
*,"Boston-Cambridge-Newton, MA-NH3...................................................................................",3.3,1.7,3.4,1.6,3.3,1.6,4.8,2.1,,,,,,,,,,
,"Bridgeport-Stamford-Norwalk, CT.....................................................................",5.6,5.0,8.7,6.7,9.4,7.2,7.5,6.7,,,,,,,,,,
*,"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",5.3,3.7,10.9,6.4,10.3,7.9,11.7,7.4,,,,,,,,,,
,"Cape Coral-Fort Myers, FL...................................................................................",8.3,7.6,7.4,9.7,1.1,3.6,6.5,8.6,,,,,,,,,,
,"Charleston-North Charleston-Summerville, SC....................................................................................................",7.8,6.8,15.8,8.6,10.1,6.5,15.7,9.9,,,,,,,,,,
**,"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",10.6,4.4,6.9,4.5,5.2,3.7,7.2,4.5,,,,,,,,,,
*,"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",5.4,1.6,5.3,1.8,7.5,2.2,7.6,2.2,,,,,,,,,,
**,"Cincinnati, OH-KY-IN7............................................................................................",7.0,3.7,9.5,5.4,3.7,3.3,3.9,3.2,,,,,,,,,,
*,"Cleveland-Elyria, OH8..............................................................................................",3.1,2.5,6.8,4.4,7.2,4.4,10.5,5.1,,,,,,,,,,
,"Columbia, SC………………………………………….",7.2,5.9,3.7,4.3,4.4,5.1,5.5,5.7,,,,,,,,,,
**,"Columbus, OH............................................................................................................................................",6.6,3.2,5.6,3.8,5.4,3.8,6.7,4.1,,,,,,,,,,
**,"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",5.2,1.7,5.7,2.1,7.2,2.3,9.2,2.7,,,,,,,,,,
**,"Dayton, OH...........................................................................................................................................................",18.3,9.2,5.8,7.4,11.6,9.0,5.5,6.5,,,,,,,,,,
*,"Denver-Aurora-Lakewood, CO9...............................................................................................................................",4.1,2.3,5.2,3.2,4.4,3.0,4.4,3.0,,,,,,,,,,
*,"Detroit-Warren-Dearborn, MI10....................................................................................................................",8.6,3.1,7.0,3.4,5.6,3.1,7.2,3.4,,,,,,,,,,
,"Fresno, CA………………………………………………",6.7,5.2,0.0,0.0,3.2,4.9,5.9,6.0,,,,,,,,,,
**,"Grand Rapids-Wyoming, MI....................................................................................................................................",4.1,5.3,3.5,5.6,6.9,7.3,5.8,7.6,,,,,,,,,,
,"Greensboro-High Point, NC............................................................................................................................",7.2,5.5,19.9,11.6,14.3,10.3,10.1,8.4,,,,,,,,,,
,"Hartford-West Hartford-East Hartford, CT................................................................................",4.8,3.6,5.7,4.8,5.0,5.0,10.9,6.1,,,,,,,,,,
**,"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",9.3,2.4,8.2,2.7,8.9,2.8,10.8,3.0,,,,,,,,,,
**,"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",7.6,3.7,6.2,4.2,11.1,5.1,11.7,5.2,,,,,,,,,,
,"Jacksonville, FL..........................................................................................................................................",9.5,4.9,7.2,5.0,8.5,5.7,8.0,5.7,,,,,,,,,,
**,"Kansas City, MO-KS.............................................................................................................................................",9.4,4.1,12.1,5.4,7.7,4.3,7.7,4.3,,,,,,,,,,
,"Knoxville, TN.............................................................................................................................................",1.4,3.1,5.8,5.7,7.7,6.8,9.5,7.6,,,,,,,,,,
*,"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",6.5,2.1,9.3,3.0,5.2,2.3,5.3,2.5,,,,,,,,,,
,"Little Rock-North Little Rock-Conway, AR..................................................................................................................",9.7,6.3,11.3,5.5,11.5,5.2,15.8,6.2,,,,,,,,,,
*,"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",3.0,0.9,3.2,1.1,3.0,1.0,2.4,0.9,,,,,,,,,,
**,"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",4.4,3.7,6.6,5.1,4.6,4.5,4.5,4.6,,,,,,,,,,
**,"Memphis, TN-AR-MS.............................................................................................................................................",10.2,5.5,8.4,4.9,7.8,4.6,11.9,6.1,,,,,,,,,,
*,"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",8.5,2.3,6.8,2.5,6.1,2.4,7.3,2.7,,,,,,,,,,
,"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",4.1,2.9,5.5,4.1,5.0,4.4,6.4,4.9,,,,,,,,,,
**,"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",3.6,2.3,5.2,3.3,3.1,2.6,3.2,2.6,,,,,,,,,,
**,"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",3.8,3.3,4.5,3.4,5.6,3.7,5.3,3.7,,,,,,,,,,
,"New Haven-Milford, CT..............................................................................................................................................................",7.5,5.2,6.8,5.5,7.6,6.1,7.6,6.3,,,,,,,,,,
**,"New Orleans-Metairie, LA.18....................................................................................................................................",16.9,7.1,11.4,4.4,9.5,3.9,7.8,3.8,,,,,,,,,,
**,"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",5.2,0.9,4.9,1.1,4.2,1.0,4.4,1.0,,,,,,,,,,
,"North Port-Bradenton-Sarasota, FL.......................................................................................................",7.8,7.2,16.8,14.7,5.0,7.3,11.3,9.5,,,,,,,,,,
,"Oklahoma City, OK.............................................................................................................................................................................",14.9,5.7,11.2,5.0,8.3,4.5,9.2,4.3,,,,,,,,,,
,"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",6.3,3.9,3.9,3.3,7.8,4.6,8.4,4.5,,,,,,,,,,
*,"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",7.8,3.6,7.6,4.1,6.0,3.8,5.0,3.6,,,,,,,,,,
,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",6.9,2.2,5.9,2.6,7.5,2.8,6.8,2.7,,,,,,,,,,
,"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",4.0,2.0,6.0,2.8,6.1,2.7,7.1,3.0,,,,,,,,,,
,"Pittsburgh, PA.....................................................................................................................................................................................................",9.1,4.6,7.7,4.8,7.3,4.9,5.7,4.3,,,,,,,,,,
,"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",6.6,3.3,4.9,2.7,5.6,2.9,3.1,2.1,,,,,,,,,,
*,"Providence-Warwick, RI-MA23.........................................................................................................................",2.6,1.2,2.5,1.4,3.2,1.6,6.7,2.3,,,,,,,,,,
