"Table with row headings in Column B and column headings are in rows 4-7, 89-92, 174-177, 259-262, 344-347. Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,,,
Table 4. Rental Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2020,Margin of Error1,Second         Quarter       2020,Margin of Error1,Third         Quarter       2020,Margin of Error1,Fourth         Quarter       2020,Margin of Error1,,,,,,,,,,
**,"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",7.7,4.2,7.0,4.1,5.9,3.9,8.5,4.5,,,,,,,,,,
,"New Haven-Milford, CT..............................................................................................................................................................",3.2,3.8,8.7,6.6,12.9,7.9,7.4,6.0,,,,,,,,,,
**,"New Orleans-Metairie, LA.18....................................................................................................................................",7.7,4.2,4.7,3.4,7.2,3.8,4.7,3.2,,,,,,,,,,
**,"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",4.0,0.9,3.3,0.8,5.1,1.0,5.7,1.1,,,,,,,,,,
,"North Port-Bradenton-Sarasota, FL.......................................................................................................",8.7,8.6,7.0,9.2,19.4,13.5,6.7,8.0,,,,,,,,,,
,"Oklahoma City, OK.............................................................................................................................................................................",7.9,4.3,7.8,4.2,4.5,3.3,5.7,3.6,,,,,,,,,,
,"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",7.1,3.8,6.3,3.6,6.0,3.7,6.5,3.7,,,,,,,,,,
*,"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",11.7,4.9,9.2,4.6,6.4,3.7,7.3,3.9,,,,,,,,,,
,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",6.4,2.5,3.8,2.1,5.5,2.4,5.9,2.6,,,,,,,,,,
,"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",2.9,1.8,6.6,2.9,6.6,2.8,3.9,2.2,,,,,,,,,,
,"Pittsburgh, PA.....................................................................................................................................................................................................",8.4,4.9,9.7,4.8,11.8,4.8,6.9,4.0,,,,,,,,,,
,"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",5.2,2.4,3.5,2.1,3.7,2.2,4.6,2.3,,,,,,,,,,
*,"Providence-Warwick, RI-MA23.........................................................................................................................",3.2,1.6,3.2,1.6,3.3,1.7,4.4,2.1,,,,,,,,,,
*,"Raleigh, NC24............................................................................................................................................................................",2.2,3.0,1.9,2.9,2.6,3.7,2.5,3.3,,,,,,,,,,
**,"Richmond, VA.........................................................................................................................................................................",5.1,5.2,2.7,4.1,0.5,1.5,2.7,3.1,,,,,,,,,,
*,"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",3.9,2.3,3.6,2.4,4.9,2.7,5.4,2.8,,,,,,,,,,
**,"Rochester, NY...........................................................................................................................................................................................",5.2,5.5,0.6,1.7,1.2,2.4,1.7,3.1,,,,,,,,,,
,"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",6.5,3.6,2.3,2.4,3.6,3.0,3.9,3.0,,,,,,,,,,
**,"St. Louis, MO-IL..................................................................................................................................................................................",5.5,3.2,4.4,3.1,5.6,3.4,5.8,3.4,,,,,,,,,,
**,"Salt Lake City, UT....................................................................................................................................................................",9.4,5.0,4.0,3.3,6.1,3.8,5.5,3.5,,,,,,,,,,
*,"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",7.5,4.0,8.3,4.1,6.7,3.7,6.3,3.6,,,,,,,,,,
*,"San Diego-Carlsbad, CA27.................................................................................................................................",3.2,2.2,2.4,1.9,6.6,3.2,3.4,2.2,,,,,,,,,,
*,"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",2.9,1.6,3.0,1.7,6.7,2.3,8.5,2.7,,,,,,,,,,
,"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",3.9,3.2,1.5,1.8,3.4,2.9,8.5,4.2,,,,,,,,,,
*,"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",3.7,2.0,2.1,1.6,4.2,2.1,4.4,2.2,,,,,,,,,,
,"Syracuse, NY………………………………………….",8.7,9.9,7.0,8.5,14.9,10.1,14.0,9.2,,,,,,,,,,
,"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",9.7,4.4,9.2,4.3,9.0,4.7,7.7,3.9,,,,,,,,,,
**,"Toledo, OH………………………………………………..",15.9,10.9,4.5,6.5,(z),(z),4.4,6.1,,,,,,,,,,
,"Tucson, AZ ..........................................................................................................................................................................................................",5.1,4.6,10.6,8.2,13.8,8.8,7.2,5.8,,,,,,,,,,
,"Tulsa, OK....................................................................................................................................................................................................",9.4,6.1,11.2,6.3,9.2,5.6,5.4,4.1,,,,,,,,,,
,"Urban Honolulu, HI29..................................................................................................................................",6.2,2.8,5.5,2.6,6.0,2.5,4.4,2.2,,,,,,,,,,
**,"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",5.4,4.0,3.9,3.4,4.7,4.3,8.7,5.8,,,,,,,,,,
**,"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",6.8,2.6,3.7,2.1,5.4,2.3,5.9,2.4,,,,,,,,,,
**,"Worcester, MA.........................................................................................................................................................................................",3.4,3.6,(z),(z),(z),(z),1.0,2.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Table 4. Rental Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020 - Continued,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2019,Margin of Error1,Second         Quarter       2019,Margin of Error1,Third         Quarter       2019,Margin of Error1,Fourth         Quarter       2019,Margin of Error1,,,,,,,,,,
