"Table with row headings in Column B and column headings are in rows 4-7, 89-92, 174-177, 259-262, 344-347. Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,,,
Table 6. Homeownership Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2020,Margin of Error1,Second         Quarter       2020,Margin of Error1,Third         Quarter       2020,Margin of Error1,Fourth         Quarter       2020,Margin of Error1,,,,,,,,,,
**,"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",67.3,5.6,70.6,5.2,71.5,5.2,69.6,5.5,,,,,,,,,,
,"New Haven-Milford, CT..............................................................................................................................................................",58.3,8.8,64.4,8.9,69.1,8.3,62.0,9.1,,,,,,,,,,
**,"New Orleans-Metairie, LA.18....................................................................................................................................",66.0,5.7,67.8,5.5,65.7,5.5,65.9,5.4,,,,,,,,,,
**,"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",51.0,2.1,51.0,2.1,50.9,2.2,50.5,2.2,,,,,,,,,,
,"North Port-Bradenton-Sarasota, FL.......................................................................................................",71.5,9.8,78.6,9.0,77.9,9.6,75.5,9.0,,,,,,,,,,
,"Oklahoma City, OK.............................................................................................................................................................................",68.3,5.5,68.7,5.4,68.9,5.3,67.2,5.4,,,,,,,,,,
,"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",67.0,5.3,67.8,5.2,71.0,5.0,68.5,5.1,,,,,,,,,,
*,"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",62.0,6.2,66.2,5.8,65.0,5.6,63.6,5.8,,,,,,,,,,
,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",65.8,3.7,70.3,3.5,69.1,3.6,71.3,3.5,,,,,,,,,,
,"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",64.2,4.0,69.8,3.9,69.4,3.8,68.3,3.8,,,,,,,,,,
,"Pittsburgh, PA.....................................................................................................................................................................................................",74.1,5.2,70.7,5.4,66.6,5.5,68.0,5.5,,,,,,,,,,
,"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",60.1,4.4,63.9,4.3,65.9,4.2,60.1,4.4,,,,,,,,,,
*,"Providence-Warwick, RI-MA23.........................................................................................................................",62.7,3.5,63.8,3.5,63.1,3.5,69.8,3.4,,,,,,,,,,
*,"Raleigh, NC24............................................................................................................................................................................",64.0,7.6,70.2,6.9,73.8,6.7,64.2,7.8,,,,,,,,,,
**,"Richmond, VA.........................................................................................................................................................................",69.9,7.9,74.3,7.3,66.0,7.6,56.3,8.1,,,,,,,,,,
*,"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",62.0,4.5,67.8,4.3,67.6,4.4,65.8,4.5,,,,,,,,,,
**,"Rochester, NY...........................................................................................................................................................................................",73.0,7.4,64.7,8.1,61.8,8.4,70.1,7.8,,,,,,,,,,
,"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",59.0,6.1,64.8,5.8,66.3,5.6,63.1,5.9,,,,,,,,,,
**,"St. Louis, MO-IL..................................................................................................................................................................................",68.4,4.8,74.0,4.4,72.3,4.6,69.3,4.9,,,,,,,,,,
**,"Salt Lake City, UT....................................................................................................................................................................",70.4,5.6,69.8,5.4,68.1,5.5,63.8,5.8,,,,,,,,,,
*,"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",63.2,5.8,66.3,5.4,65.1,5.5,62.2,5.7,,,,,,,,,,
*,"San Diego-Carlsbad, CA27.................................................................................................................................",57.0,5.2,56.5,5.3,61.5,5.1,56.3,5.0,,,,,,,,,,
*,"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",51.2,4.3,56.0,4.2,53.0,4.2,51.6,4.4,,,,,,,,,,
,"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",53.1,7.2,49.3,6.8,54.6,7.0,53.7,6.8,,,,,,,,,,
*,"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",58.5,4.4,61.4,4.3,59.0,4.4,58.5,4.3,,,,,,,,,,
,"Syracuse, NY………………………………………….",77.5,9.2,76.4,9.0,65.9,10.8,65.3,10.2,,,,,,,,,,
,"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",71.8,4.8,71.1,4.8,76.7,4.5,69.3,4.9,,,,,,,,,,
**,"Toledo, OH………………………………………………..",67.4,11.0,64.6,11.7,59.2,11.5,62.5,11.6,,,,,,,,,,
,"Tucson, AZ ..........................................................................................................................................................................................................",58.1,8.7,76.0,7.5,73.2,7.9,61.0,9.0,,,,,,,,,,
,"Tulsa, OK....................................................................................................................................................................................................",73.3,6.3,73.2,6.2,71.2,6.3,62.1,7.1,,,,,,,,,,
,"Urban Honolulu, HI29..................................................................................................................................",61.1,4.6,57.2,4.7,53.9,4.6,55.6,4.6,,,,,,,,,,
**,"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",58.3,7.2,60.6,6.9,72.7,6.3,71.6,6.6,,,,,,,,,,
**,"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",67.4,3.7,70.4,3.6,67.6,3.6,66.1,3.7,,,,,,,,,,
**,"Worcester, MA.........................................................................................................................................................................................",61.7,7.7,71.4,7.3,71.3,7.4,59.2,8.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Table 6. Homeownership Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020 - Continued,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2019,Margin of Error1,Second         Quarter       2019,Margin of Error1,Third         Quarter       2019,Margin of Error1,Fourth         Quarter       2019,Margin of Error1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
