"Table with row headings in Column B and column headings are in rows 4-7, 89-92, 174-177, 259-262, 344-347. Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,,,
Table 6. Homeownership Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2020,Margin of Error1,Second         Quarter       2020,Margin of Error1,Third         Quarter       2020,Margin of Error1,Fourth         Quarter       2020,Margin of Error1,,,,,,,,,,
**,"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",62.0,3.5,62.2,3.5,61.3,3.6,62.7,3.6,,,,,,,,,,
**,"Dayton, OH...........................................................................................................................................................",66.8,10.2,67.6,9.7,72.5,9.2,52.8,10.2,,,,,,,,,,
*,"Denver-Aurora-Lakewood, CO9...............................................................................................................................",53.0,5.4,60.2,5.4,62.3,5.3,64.9,5.2,,,,,,,,,,
*,"Detroit-Warren-Dearborn, MI10....................................................................................................................",65.0,4.3,70.0,4.1,74.2,3.9,74.4,3.8,,,,,,,,,,
,"Fresno, CA………………………………………………",50.2,9.8,51.3,9.7,49.9,9.8,47.1,9.5,,,,,,,,,,
**,"Grand Rapids-Wyoming, MI....................................................................................................................................",76.0,8.1,75.2,8.2,70.4,8.5,70.3,8.9,,,,,,,,,,
,"Greensboro-High Point, NC............................................................................................................................",65.8,8.8,63.4,8.9,55.7,8.9,68.5,8.8,,,,,,,,,,
,"Hartford-West Hartford-East Hartford, CT................................................................................",64.9,7.1,66.8,6.7,65.6,7.1,62.7,7.3,,,,,,,,,,
**,"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",58.1,3.7,58.7,3.8,62.4,3.7,61.5,3.7,,,,,,,,,,
**,"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",64.1,5.9,67.4,5.7,61.3,6.0,64.3,6.0,,,,,,,,,,
,"Jacksonville, FL..........................................................................................................................................",61.8,7.6,59.9,7.5,60.3,7.6,63.3,7.2,,,,,,,,,,
**,"Kansas City, MO-KS.............................................................................................................................................",62.8,4.4,60.8,4.3,66.2,4.3,67.7,4.2,,,,,,,,,,
,"Knoxville, TN.............................................................................................................................................",76.9,7.3,73.2,7.6,61.1,8.2,62.7,8.6,,,,,,,,,,
*,"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",57.8,4.6,58.1,4.5,57.2,4.5,59.2,4.5,,,,,,,,,,
,"Little Rock-North Little Rock-Conway, AR..................................................................................................................",63.6,10.3,61.7,10.3,62.1,10.3,61.6,9.9,,,,,,,,,,
*,"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",51.9,2.8,48.8,2.7,47.3,2.7,50.0,2.7,,,,,,,,,,
**,"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",70.4,6.6,66.6,6.8,65.9,6.8,68.6,6.9,,,,,,,,,,
**,"Memphis, TN-AR-MS.............................................................................................................................................",63.5,7.3,63.2,7.1,64.4,6.8,62.9,7.0,,,,,,,,,,
*,"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",60.6,4.0,59.0,3.9,57.0,3.9,63.0,3.8,,,,,,,,,,
,"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",57.2,7.2,58.3,7.2,67.3,6.7,66.3,6.9,,,,,,,,,,
**,"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",67.1,4.7,66.3,4.6,68.9,4.5,69.0,4.6,,,,,,,,,,
**,"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",69.2,5.4,67.8,5.6,68.1,5.6,68.0,5.5,,,,,,,,,,
,"New Haven-Milford, CT..............................................................................................................................................................",61.3,9.0,67.2,8.5,70.4,8.2,60.7,9.0,,,,,,,,,,
**,"New Orleans-Metairie, LA.18....................................................................................................................................",60.8,5.7,60.6,5.7,60.4,5.7,68.4,5.3,,,,,,,,,,
**,"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",50.0,2.2,49.6,2.2,48.8,2.2,50.4,2.2,,,,,,,,,,
,"North Port-Bradenton-Sarasota, FL.......................................................................................................",62.4,10.7,59.4,11.0,62.5,11.1,66.3,10.5,,,,,,,,,,
,"Oklahoma City, OK.............................................................................................................................................................................",62.9,6.0,66.3,5.8,65.0,5.7,64.2,5.9,,,,,,,,,,
,"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",67.6,5.2,67.2,5.5,69.9,5.2,66.4,5.2,,,,,,,,,,
*,"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",59.3,6.6,59.9,6.4,55.4,6.4,59.5,6.3,,,,,,,,,,
,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",65.6,3.8,67.8,3.7,68.5,3.7,67.7,3.7,,,,,,,,,,
,"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",62.8,4.3,63.8,4.2,67.4,4.1,67.1,4.1,,,,,,,,,,
,"Pittsburgh, PA.....................................................................................................................................................................................................",75.4,5.2,73.3,5.3,69.5,5.5,68.6,5.6,,,,,,,,,,
,"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",55.8,4.6,61.9,4.5,61.3,4.5,57.9,4.5,,,,,,,,,,
*,"Providence-Warwick, RI-MA23.........................................................................................................................",62.0,3.6,61.1,3.6,61.7,3.6,60.4,3.6,,,,,,,,,,
*,"Raleigh, NC24............................................................................................................................................................................",67.8,7.4,67.8,7.6,61.4,7.8,62.6,7.7,,,,,,,,,,
**,"Richmond, VA.........................................................................................................................................................................",60.0,8.2,63.8,8.0,63.0,8.0,64.5,7.8,,,,,,,,,,
*,"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",61.2,4.7,60.1,4.6,64.7,4.6,63.4,4.7,,,,,,,,,,
**,"Rochester, NY...........................................................................................................................................................................................",61.4,8.6,59.1,8.7,63.9,8.7,65.6,8.4,,,,,,,,,,
,"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",56.9,6.1,62.9,5.9,69.5,5.8,67.5,5.8,,,,,,,,,,
**,"St. Louis, MO-IL..................................................................................................................................................................................",60.5,5.1,64.6,5.1,68.3,5.0,70.5,5.0,,,,,,,,,,
**,"Salt Lake City, UT....................................................................................................................................................................",70.0,5.5,68.4,5.7,66.7,5.7,72.8,5.3,,,,,,,,,,
*,"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",59.7,6.3,65.0,5.9,63.4,5.9,69.0,5.6,,,,,,,,,,
*,"San Diego-Carlsbad, CA27.................................................................................................................................",52.6,5.2,54.7,5.3,59.3,5.2,57.8,5.1,,,,,,,,,,
*,"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",56.2,4.5,56.4,4.5,54.1,4.5,55.7,4.3,,,,,,,,,,
,"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",49.7,6.9,50.2,6.9,54.4,6.8,47.1,6.9,,,,,,,,,,
*,"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",62.7,4.5,63.1,4.5,61.3,4.5,63.0,4.4,,,,,,,,,,
,"Syracuse, NY………………………………………….",58.8,10.8,64.6,10.4,70.4,10.5,74.4,10.4,,,,,,,,,,
,"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",63.7,5.2,66.5,5.1,63.4,5.1,66.1,5.0,,,,,,,,,,
**,"Toledo, OH………………………………………………..",56.1,12.3,68.7,12.0,69.6,11.9,66.5,11.1,,,,,,,,,,
,"Tucson, AZ ..........................................................................................................................................................................................................",65.4,8.3,64.6,8.6,59.5,8.7,65.8,8.4,,,,,,,,,,
,"Tulsa, OK....................................................................................................................................................................................................",67.9,6.9,64.6,6.9,71.4,6.4,69.0,6.5,,,,,,,,,,
,"Urban Honolulu, HI29..................................................................................................................................",59.9,4.7,54.2,4.7,58.0,4.7,58.6,4.7,,,,,,,,,,
**,"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",60.0,7.3,62.6,7.2,60.9,7.3,67.5,6.9,,,,,,,,,,
**,"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",65.2,3.8,61.6,3.9,62.6,3.9,62.1,3.8,,,,,,,,,,
**,"Worcester, MA.........................................................................................................................................................................................",65.2,7.8,60.9,7.8,64.2,8.0,63.3,8.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Table 6. Homeownership Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020 - Continued,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2017,Margin of Error1,Second         Quarter       2017,Margin of Error1,Third         Quarter       2017,Margin of Error1,Fourth         Quarter       2017,Margin of Error1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"Akron, OH ................................................................................................................",70.0,10.5,68.0,10.2,68.2,10.1,64.2,10.5,,,,,,,,,,
,"Albany-Schenectady-Troy, NY .....................................................................",69.3,9.4,67.2,9.6,60.6,9.9,60.0,9.6,,,,,,,,,,
,"Albuquerque, NM...................................................................................................",66.6,4.7,68.1,4.8,66.0,4.8,67.4,4.7,,,,,,,,,,
,"Allentown-Bethlehem-Easton, PA-NJ..................................................................",70.8,9.9,74.7,9.5,74.8,9.2,72.1,9.6,,,,,,,,,,
**,"Atlanta-Sandy Springs-Roswell, GA1....................................................",64.4,3.9,61.1,3.9,61.8,3.9,62.2,4.0,,,,,,,,,,
,"Austin-Round Rock, TX.....................................................................................................",58.4,6.7,57.2,6.7,51.9,6.7,55.0,6.7,,,,,,,,,,
*,"Baltimore-Columbia-Towson, MD2.....................................................................................................",70.4,5.3,67.4,5.4,68.4,5.6,64.0,5.6,,,,,,,,,,
,"Baton Rouge, LA……………………………………….",66.1,6.9,66.1,6.9,65.9,6.7,69.3,6.6,,,,,,,,,,
,"Birmingham-Hoover, AL......................................................................................................",62.6,6.3,74.7,5.8,74.2,5.9,71.3,5.9,,,,,,,,,,
*,"Boston-Cambridge-Newton, MA-NH3...................................................................................",61.3,3.6,58.6,3.7,57.5,3.7,57.8,3.7,,,,,,,,,,
,"Bridgeport-Stamford-Norwalk, CT.....................................................................",71.1,8.2,66.5,8.3,65.7,8.3,65.8,8.7,,,,,,,,,,
*,"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",64.1,8.4,54.9,8.6,65.4,8.0,65.2,8.5,,,,,,,,,,
,"Cape Coral-Fort Myers, FL...................................................................................",62.8,11.4,64.6,11.6,60.4,12.0,74.9,11.0,,,,,,,,,,
,"Charleston-North Charleston-Summerville, SC....................................................................................................",76.4,7.7,69.5,9.1,57.1,10.0,65.9,9.1,,,,,,,,,,
**,"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",65.0,5.9,64.2,6.0,62.8,5.8,66.5,5.8,,,,,,,,,,
*,"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",64.9,2.9,63.0,3.0,64.7,2.9,63.7,2.9,,,,,,,,,,
**,"Cincinnati, OH-KY-IN7............................................................................................",61.5,6.1,70.0,5.8,66.7,6.0,64.8,6.0,,,,,,,,,,
*,"Cleveland-Elyria, OH8..............................................................................................",65.9,6.2,67.2,5.9,65.7,5.9,67.5,5.8,,,,,,,,,,
,"Columbia, SC………………………………………….",72.5,7.8,76.3,7.3,69.9,8.1,64.0,8.2,,,,,,,,,,
**,"Columbus, OH............................................................................................................................................",55.1,6.7,56.8,6.9,58.1,6.5,61.3,6.5,,,,,,,,,,
**,"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",60.9,3.6,61.3,3.6,60.7,3.6,64.4,3.5,,,,,,,,,,
**,"Dayton, OH...........................................................................................................................................................",64.0,10.2,66.4,9.9,69.8,10.0,54.3,10.5,,,,,,,,,,
*,"Denver-Aurora-Lakewood, CO9...............................................................................................................................",56.8,5.4,61.3,5.4,61.0,5.5,58.1,5.4,,,,,,,,,,
*,"Detroit-Warren-Dearborn, MI10....................................................................................................................",67.4,4.2,71.2,4.0,71.8,4.0,70.3,4.1,,,,,,,,,,
,"Fresno, CA………………………………………………",58.8,10.0,44.5,9.4,46.1,9.8,45.9,9.4,,,,,,,,,,
**,"Grand Rapids-Wyoming, MI....................................................................................................................................",74.6,8.5,73.9,8.4,67.6,8.7,70.9,8.4,,,,,,,,,,
,"Greensboro-High Point, NC............................................................................................................................",64.7,9.1,65.5,8.8,61.6,8.7,55.8,9.3,,,,,,,,,,
,"Hartford-West Hartford-East Hartford, CT................................................................................",60.2,7.4,68.4,7.0,72.5,6.9,65.0,7.3,,,,,,,,,,
**,"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",60.0,3.8,56.8,3.8,60.7,3.8,58.1,3.8,,,,,,,,,,
**,"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",64.0,6.0,68.4,5.9,61.1,6.2,62.0,6.1,,,,,,,,,,
,"Jacksonville, FL..........................................................................................................................................",71.5,7.0,64.6,7.4,63.5,7.7,61.0,7.6,,,,,,,,,,
**,"Kansas City, MO-KS.............................................................................................................................................",60.6,4.6,62.0,4.4,62.8,4.3,63.9,4.3,,,,,,,,,,
,"Knoxville, TN.............................................................................................................................................",68.1,8.2,66.2,8.2,66.8,8.1,62.3,8.5,,,,,,,,,,
*,"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",54.6,4.6,55.5,4.6,52.4,4.7,55.1,4.6,,,,,,,,,,
,"Little Rock-North Little Rock-Conway, AR..................................................................................................................",63.7,10.1,63.1,10.3,56.7,10.6,60.4,10.4,,,,,,,,,,
*,"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",50.1,2.8,48.3,2.8,46.6,2.7,51.2,2.7,,,,,,,,,,
**,"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",71.6,6.6,70.9,6.6,70.9,6.4,73.5,6.3,,,,,,,,,,
**,"Memphis, TN-AR-MS.............................................................................................................................................",65.6,6.9,59.4,7.0,61.0,7.0,64.0,7.2,,,,,,,,,,
*,"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",59.1,4.1,57.3,4.0,57.5,4.0,57.9,4.0,,,,,,,,,,
,"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",56.1,7.2,59.6,7.3,68.7,6.8,71.7,6.8,,,,,,,,,,
**,"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",71.5,4.6,72.1,4.6,68.4,4.6,68.6,4.7,,,,,,,,,,
**,"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",71.1,5.5,71.9,5.4,68.8,5.6,66.2,5.5,,,,,,,,,,
,"New Haven-Milford, CT..............................................................................................................................................................",65.2,8.6,61.1,8.8,56.2,9.0,52.1,9.3,,,,,,,,,,
**,"New Orleans-Metairie, LA.18....................................................................................................................................",64.8,5.6,60.3,5.7,57.6,5.7,64.1,5.5,,,,,,,,,,
**,"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",48.5,2.2,49.8,2.2,50.3,2.2,50.9,2.2,,,,,,,,,,
,"North Port-Bradenton-Sarasota, FL.......................................................................................................",69.3,9.9,62.7,10.7,63.6,10.6,64.0,10.8,,,,,,,,,,
,"Oklahoma City, OK.............................................................................................................................................................................",62.2,6.1,71.8,5.6,63.6,5.9,61.1,6.0,,,,,,,,,,
,"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",64.4,5.5,64.5,5.6,67.6,5.3,65.3,5.2,,,,,,,,,,
*,"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",56.6,6.5,57.6,6.2,61.1,6.2,63.0,6.3,,,,,,,,,,
,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",67.5,3.7,66.9,3.7,63.9,3.8,64.0,3.9,,,,,,,,,,
,"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",62.7,4.3,61.8,4.3,64.1,4.2,67.3,4.1,,,,,,,,,,
,"Pittsburgh, PA.....................................................................................................................................................................................................",70.4,5.6,74.5,5.5,74.0,5.3,72.1,5.5,,,,,,,,,,
,"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",58.5,4.6,61.6,4.5,62.0,4.6,62.3,4.5,,,,,,,,,,
*,"Providence-Warwick, RI-MA23.........................................................................................................................",60.5,3.7,56.8,3.7,57.2,3.6,60.0,3.7,,,,,,,,,,
*,"Raleigh, NC24............................................................................................................................................................................",65.8,8.2,63.9,8.4,70.0,7.8,72.5,7.3,,,,,,,,,,
**,"Richmond, VA.........................................................................................................................................................................",61.6,8.5,67.5,8.5,61.1,8.5,62.7,8.2,,,,,,,,,,
*,"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",61.0,4.8,58.4,4.8,59.2,4.8,61.0,4.8,,,,,,,,,,
**,"Rochester, NY...........................................................................................................................................................................................",60.5,8.7,64.7,8.5,65.9,8.6,61.4,8.8,,,,,,,,,,
,"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",55.6,6.1,59.7,6.1,61.7,6.3,63.7,6.0,,,,,,,,,,
**,"St. Louis, MO-IL..................................................................................................................................................................................",61.6,5.1,65.4,5.1,68.0,5.0,67.5,5.0,,,,,,,,,,
**,"Salt Lake City, UT....................................................................................................................................................................",73.0,5.3,64.9,5.9,65.2,6.1,68.9,5.6,,,,,,,,,,
*,"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",57.9,6.6,60.7,6.3,63.7,6.2,67.1,6.0,,,,,,,,,,
*,"San Diego-Carlsbad, CA27.................................................................................................................................",57.9,5.1,56.1,5.2,54.1,5.3,55.6,5.2,,,,,,,,,,
*,"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",57.3,4.4,55.1,4.5,55.5,4.5,54.8,4.4,,,,,,,,,,
,"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",47.0,7.1,54.6,7.0,49.9,6.9,50.2,6.9,,,,,,,,,,
*,"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",58.2,4.6,59.0,4.6,59.5,4.6,61.0,4.4,,,,,,,,,,
,"Syracuse, NY………………………………………….",62.2,11.7,57.3,10.9,66.5,10.2,66.5,10.8,,,,,,,,,,
,"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",63.0,5.3,59.4,5.3,59.5,5.3,59.6,5.2,,,,,,,,,,
**,"Toledo, OH………………………………………………..",58.8,11.8,57.4,12.4,62.7,12.1,69.4,11.1,,,,,,,,,,
,"Tucson, AZ ..........................................................................................................................................................................................................",58.4,8.6,59.2,8.9,57.3,8.8,65.7,8.4,,,,,,,,,,
,"Tulsa, OK....................................................................................................................................................................................................",62.7,6.9,66.3,7.0,69.2,6.4,68.9,6.7,,,,,,,,,,
,"Urban Honolulu, HI29..................................................................................................................................",57.7,4.8,51.5,4.7,49.9,4.7,56.4,4.7,,,,,,,,,,
**,"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",65.0,7.5,66.0,7.2,65.5,7.3,64.7,7.2,,,,,,,,,,
**,"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",62.6,3.8,61.6,3.9,63.9,3.9,65.0,3.8,,,,,,,,,,
**,"Worcester, MA.........................................................................................................................................................................................",64.1,7.9,57.9,8.4,64.2,8.1,73.9,7.6,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Table 6. Homeownership Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020 - Continued,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2016,Margin of Error2,Second         Quarter       2016,Margin of Error1,Third         Quarter       2016,Margin of Error1,Fourth         Quarter       2016,Margin of Error1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"Akron, OH ................................................................................................................",71.2,8.6,76.6,9.1,77.7,9.0,73.2,10.2,,,,,,,,,,
,"Albany-Schenectady-Troy, NY .....................................................................",65.6,8.0,60.8,9.8,58.2,9.8,60.9,9.2,,,,,,,,,,
,"Albuquerque, NM...................................................................................................",70.3,4.5,66.2,4.8,66.4,4.7,64.7,4.8,,,,,,,,,,
,"Allentown-Bethlehem-Easton, PA-NJ..................................................................",69.4,7.8,69.1,9.6,68.9,9.7,68.4,10.2,,,,,,,,,,
**,"Atlanta-Sandy Springs-Roswell, GA1....................................................",62.9,3.2,62.1,3.9,59.3,3.9,61.6,3.9,,,,,,,,,,
,"Austin-Round Rock, TX.....................................................................................................",59.1,5.4,57.2,6.7,53.6,6.8,55.7,6.7,,,,,,,,,,
*,"Baltimore-Columbia-Towson, MD2.....................................................................................................",69.1,4.6,66.9,5.5,69.5,5.4,68.6,5.4,,,,,,,,,,
,"Baton Rouge, LA……………………………………….",62.6,8.6,63.4,6.5,68.9,6.4,64.1,6.9,,,,,,,,,,
,"Birmingham-Hoover, AL......................................................................................................",67.2,7.2,71.6,6.1,69.8,6.3,66.0,6.5,,,,,,,,,,
*,"Boston-Cambridge-Newton, MA-NH3...................................................................................",61.9,3.5,55.1,3.7,58.1,3.6,60.6,3.6,,,,,,,,,,
,"Bridgeport-Stamford-Norwalk, CT.....................................................................",68.3,7.0,63.0,8.7,64.6,8.9,67.7,8.3,,,,,,,,,,
*,"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",55.8,6.6,56.7,8.6,73.3,7.6,65.1,8.2,,,,,,,,,,
,"Cape Coral-Fort Myers, FL...................................................................................",68.2,9.1,70.0,11.6,60.8,12.8,66.4,11.7,,,,,,,,,,
,"Charleston-North Charleston-Summerville, SC....................................................................................................",65.1,8.9,59.3,9.9,51.7,9.5,71.7,8.5,,,,,,,,,,
**,"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",67.0,4.9,67.7,5.8,63.4,5.9,66.8,6.0,,,,,,,,,,
*,"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",64.5,2.4,62.7,3.0,65.1,2.9,65.5,2.9,,,,,,,,,,
**,"Cincinnati, OH-KY-IN7............................................................................................",64.0,5.2,69.7,5.9,65.2,6.0,60.9,6.1,,,,,,,,,,
*,"Cleveland-Elyria, OH8..............................................................................................",65.3,5.1,63.6,6.3,65.1,6.0,65.0,6.0,,,,,,,,,,
,"Columbia, SC………………………………………….",60.9,8.6,61.7,8.4,66.7,8.2,66.3,8.4,,,,,,,,,,
**,"Columbus, OH............................................................................................................................................",55.6,5.4,58.6,6.4,59.3,6.4,56.3,6.6,,,,,,,,,,
**,"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",58.3,3.0,59.1,3.5,58.6,3.5,62.9,3.5,,,,,,,,,,
**,"Dayton, OH...........................................................................................................................................................",68.2,8.3,66.9,10.6,64.0,10.3,65.0,9.9,,,,,,,,,,
*,"Denver-Aurora-Lakewood, CO9...............................................................................................................................",60.9,4.4,61.1,5.4,62.0,5.4,62.6,5.3,,,,,,,,,,
*,"Detroit-Warren-Dearborn, MI10....................................................................................................................",73.5,3.2,71.0,4.1,71.7,4.0,70.2,4.1,,,,,,,,,,
,"Fresno, CA………………………………………………",56.5,8.6,52.3,9.8,60.8,10.2,55.1,10.4,,,,,,,,,,
**,"Grand Rapids-Wyoming, MI....................................................................................................................................",77.6,6.4,74.7,8.0,72.9,8.3,79.6,7.2,,,,,,,,,,
,"Greensboro-High Point, NC............................................................................................................................",55.7,8.8,67.9,10.2,67.2,10.2,60.9,10.7,,,,,,,,,,
,"Hartford-West Hartford-East Hartford, CT................................................................................",60.9,6.4,63.2,7.4,69.9,7.1,60.7,7.6,,,,,,,,,,
**,"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",59.2,3.2,59.1,3.9,59.0,3.9,58.7,3.8,,,,,,,,,,
**,"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",62.7,5.1,66.0,5.9,63.3,6.0,63.6,6.0,,,,,,,,,,
,"Jacksonville, FL..........................................................................................................................................",63.1,6.2,56.1,8.0,60.5,8.0,67.1,7.4,,,,,,,,,,
**,"Kansas City, MO-KS.............................................................................................................................................",64.0,5.1,62.0,6.3,62.6,6.0,60.9,6.1,,,,,,,,,,
,"Knoxville, TN.............................................................................................................................................",68.2,8.3,65.0,8.7,69.2,8.2,71.0,8.0,,,,,,,,,,
*,"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",51.8,3.7,50.5,4.6,48.5,4.7,54.4,4.6,,,,,,,,,,
,"Little Rock-North Little Rock-Conway, AR..................................................................................................................",70.5,6.6,63.4,6.5,61.1,6.3,65.2,6.3,,,,,,,,,,
*,"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",49.0,2.2,46.5,2.7,44.7,2.7,48.4,2.7,,,,,,,,,,
**,"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",63.8,6.4,66.5,7.0,69.3,6.8,70.7,6.6,,,,,,,,,,
**,"Memphis, TN-AR-MS.............................................................................................................................................",64.8,6.6,60.4,6.8,57.0,6.9,65.4,6.8,,,,,,,,,,
*,"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",57.5,3.3,58.0,4.0,59.4,4.0,58.9,4.0,,,,,,,,,,
,"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",57.7,5.8,55.3,7.3,63.2,7.2,65.5,7.0,,,,,,,,,,
**,"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",71.7,3.7,68.6,4.7,67.9,4.8,68.4,4.7,,,,,,,,,,
**,"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",69.1,5.3,64.3,5.7,62.1,5.9,64.4,5.9,,,,,,,,,,
,"New Haven-Milford, CT..............................................................................................................................................................",62.4,7.3,54.9,9.0,56.9,9.2,63.4,8.7,,,,,,,,,,
**,"New Orleans-Metairie, LA.18....................................................................................................................................",66.1,6.9,56.6,5.7,54.5,5.6,60.4,5.5,,,,,,,,,,
**,"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",49.6,1.8,49.5,2.2,51.9,2.2,50.8,2.2,,,,,,,,,,
,"North Port-Bradenton-Sarasota, FL.......................................................................................................",72.4,7.9,81.0,8.8,71.9,10.0,68.8,9.9,,,,,,,,,,
,"Oklahoma City, OK.............................................................................................................................................................................",64.0,6.0,64.0,5.8,64.5,5.8,60.0,5.9,,,,,,,,,,
,"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",68.9,5.1,66.5,5.7,70.7,5.3,70.2,5.0,,,,,,,,,,
*,"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",59.7,5.2,55.5,6.4,59.9,6.2,58.7,6.4,,,,,,,,,,
,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",65.5,3.0,65.2,3.8,64.3,3.8,63.7,3.8,,,,,,,,,,
,"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",61.6,3.7,63.2,4.2,62.2,4.2,63.4,4.2,,,,,,,,,,
,"Pittsburgh, PA.....................................................................................................................................................................................................",74.1,4.4,68.9,5.8,73.4,5.3,72.2,5.4,,,,,,,,,,
,"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",64.4,4.7,61.3,4.6,62.4,4.7,59.1,4.6,,,,,,,,,,
*,"Providence-Warwick, RI-MA23.........................................................................................................................",58.0,3.0,57.9,3.5,56.6,3.6,57.4,3.7,,,,,,,,,,
*,"Raleigh, NC24............................................................................................................................................................................",62.2,6.7,66.7,8.2,73.9,7.5,61.0,8.4,,,,,,,,,,
