"Table with row headings in Column B and column headings are in rows 4-7, 89-92, 174-177, 259-262, 344-347. Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,,,,,
Table 5. Homeowner Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2020,Margin of Error1,Second         Quarter       2020,Margin of Error1,Third         Quarter       2020,Margin of Error1,Fourth         Quarter       2020,Margin of Error1,,,,,,,,,,,,
**,"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",0.5,0.6,0.2,0.4,0.7,0.8,0.6,0.7,,,,,,,,,,,,
**,"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",0.9,1.1,0.6,0.8,1.0,1.1,0.3,0.6,,,,,,,,,,,,
,"New Haven-Milford, CT..............................................................................................................................................................",0.4,1.2,(z),(z),0.3,0.9,(z),(z),,,,,,,,,,,,
**,"New Orleans-Metairie, LA.18....................................................................................................................................",2.7,1.9,1.3,1.3,(z),(z),1.4,1.3,,,,,,,,,,,,
**,"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",1.1,0.5,1.3,0.5,1.2,0.5,1.3,0.5,,,,,,,,,,,,
,"North Port-Bradenton-Sarasota, FL.......................................................................................................",2.2,2.9,2.0,2.7,2.3,3.1,1.9,2.6,,,,,,,,,,,,
,"Oklahoma City, OK.............................................................................................................................................................................",1.5,1.4,0.5,0.8,0.8,1.0,1.0,1.1,,,,,,,,,,,,
,"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",0.8,1.0,0.1,0.3,0.1,0.3,0.9,1.0,,,,,,,,,,,,
*,"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",2.0,1.8,0.3,0.6,1.5,1.4,0.9,1.1,,,,,,,,,,,,
,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",0.9,0.7,0.3,0.4,0.8,0.6,0.7,0.6,,,,,,,,,,,,
