RegionID,RegionName,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021
394492,"Indianapolis, IN",199874,201252,202714,203694,204728,205739,206691,207375,208287,209210,209793,210540,211757,213432,214820,216082,217160,218514,220070,222159,224365,226628,229304,232023,234634,237025
394705,"San Jose, CA",174129,174921,175303,175411,176228,176913,177522,178015,178985,180067,180992,181517,182355,183510,184745,185945,187081,188517,190219,192159,194112,196139,198319,200759,203136,205859
395059,"Austin, TX",1199854,1179621,1164178,1161881,1159075,1153933,1143204,1133966,1134717,1134132,1138084,1142839,1157863,1174938,1193287,1202693,1207835,1216099,1228735,1250230,1266057,1284454,1297180,1311819,1320210,1325899
394355,"Virginia Beach, VA",341711,344508,346250,347325,348069,349532,350998,352062,353122,352783,352503,352629,354533,356554,359123,361938,365045,367734,370893,374508,379060,384727,391329,397633,402925,408106
395194,"Nashville, TN",237389,238130,238893,239568,239912,240390,241081,241755,242458,242928,243281,243597,244510,245533,246693,247690,249060,250476,251855,253448,255260,257444,259834,262390,264743,267161
394902,"Providence, RI",271835,272519,273319,273929,274656,275588,276659,277592,278427,279309,280372,281289,282420,283604,285216,286807,288677,290436,292234,294138,296361,298809,301461,304539,307585,310812
395005,"Milwaukee, WI",310160,310442,311296,312410,313634,314814,315811,316224,316308,316648,317951,318861,319694,321330,322935,324783,326474,328623,331068,334413,338647,343284,347655,352514,357892,363298
394862,"Jacksonville, FL",187974,188844,189898,191267,191932,192572,193264,193866,194435,195139,195799,196767,197759,199033,200016,201213,202760,204650,206499,208617,210859,213275,215960,218649,221583,224157
394714,"Memphis, TN",223728,224190,224622,225504,226230,227515,228581,229501,230107,230757,231066,231706,232348,233607,234985,236167,237228,237990,239027,240681,242872,245257,247984,250801,254093,257266
394849,"Oklahoma City, OK",146402,147578,148688,149397,150315,150933,151601,152241,153024,153719,154581,155607,156369,157308,158304,159755,160834,162213,163665,165319,166834,168579,170322,172063,173881,175627
394935,"Louisville-Jefferson County, KY",150685,151402,151692,152064,152405,153222,154168,155021,155685,156245,156841,157381,158247,158901,159852,160673,161661,162475,163252,164223,165306,166514,167738,169005,170204,171597
394807,"Hartford, CT",172698,173336,174030,174779,175878,176836,177514,177949,178627,179403,180240,181204,182404,183446,184277,185180,186089,187104,188337,189959,191582,193233,195047,196791,198428,200197
394669,"Richmond, VA",234479,234963,234825,235118,235011,235566,235461,235427,235220,235428,235652,236110,236858,237225,238032,238624,239854,240838,242746,245000,247720,250440,253401,256371,259570,263441
395022,"New Orleans, LA",240166,240943,241739,242554,243388,244359,245382,246625,247668,248620,248831,249054,249247,250266,251401,252622,253959,255318,256746,258141,259856,261776,264302,267086,270023,272653
394910,"Buffalo, NY",199252,199095,200260,201111,202181,202690,203339,203519,204142,204565,205107,206562,207909,209041,209289,210248,211177,212399,213540,215156,216776,218597,220535,222247,224300,226517
394425,"Raleigh, NC",164515,165577,167210,168139,169583,170678,171527,171641,171397,171293,171667,172421,173476,174353,174978,175828,176521,177591,178906,180845,183255,185857,188452,191033,193346,195939
395012,"Birmingham, AL",275391,276957,277861,278404,278616,279722,280896,281647,282172,283125,284255,284947,284905,285135,286078,287744,289229,290624,292199,294317,296819,299351,302166,305560,309767,314170
394388,"Salt Lake City, UT",162711,163424,163961,164345,164807,166069,167605,168747,169280,169861,170727,171917,172981,173922,175105,176524,177878,178714,179396,180608,182289,184291,186191,188003,189998,192094
395053,"Rochester, NY",362473,365476,367437,368209,368711,370221,371682,373588,375476,376481,377459,377892,380405,382410,385152,387303,391137,394892,398853,403120,407875,413750,420076,427306,433146,440100
395031,"Grand Rapids, MI",150499,151434,152288,153146,153932,154803,155030,155321,155445,155866,156312,156750,157285,158065,159087,160385,161748,162862,164132,165346,166915,168604,170298,172153,173946,175659
