RegionType,State,Name,FIPSCode,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,countyname_x,state_x,ssacounty_x,fipscounty_x,msa_x,l_x,msaname_x,cbsa_x,cbsaname_x,Region,countyname_y,state_y,ssacounty_y,fipscounty_y,msa_y,l_y,msaname_y,cbsa_y,cbsaname_y
County,GA,Forsyth County,13117,0.7,0.4,0.4,0.5,0.3,0.4,0.4,FORSYTH,GA,11461,13117,520.0,L,"ATLANTA, GA",12060.0,"Atlanta-Sandy Springs-Marietta, GA",South,FORSYTH,GA,11461,13117,520.0,L,"ATLANTA, GA",12060.0,"Atlanta-Sandy Springs-Marietta, GA"
County,GA,Fulton County,13121,1.7,1.1,1.0,0.7,0.8,0.8,0.6,FULTON,GA,11470,13121,520.0,L,"ATLANTA, GA",12060.0,"Atlanta-Sandy Springs-Marietta, GA",South,FULTON,GA,11470,13121,520.0,L,"ATLANTA, GA",12060.0,"Atlanta-Sandy Springs-Marietta, GA"
County,GA,Gwinnett County,13135,1.9,1.1,0.8,0.8,0.8,0.8,0.8,GWINNETT,GA,11530,13135,520.0,L,"ATLANTA, GA",12060.0,"Atlanta-Sandy Springs-Marietta, GA",South,GWINNETT,GA,11530,13135,520.0,L,"ATLANTA, GA",12060.0,"Atlanta-Sandy Springs-Marietta, GA"
County,GA,Hall County,13139,2.3,1.1,1.0,0.7,0.9,1.2,0.7,HALL,GA,11550,13139,11.0,,GEORGIA,23580.0,"Gainesville, GA",South,HALL,GA,11550,13139,11.0,,GEORGIA,23580.0,"Gainesville, GA"
County,GA,Henry County,13151,3.7,2.7,1.8,1.5,1.8,1.8,1.9,HENRY,GA,11591,13151,520.0,L,"ATLANTA, GA",12060.0,"Atlanta-Sandy Springs-Marietta, GA",South,HENRY,GA,11591,13151,520.0,L,"ATLANTA, GA",12060.0,"Atlanta-Sandy Springs-Marietta, GA"
County,GA,Houston County,13153,2.0,1.4,1.3,0.9,0.8,1.0,0.9,HOUSTON,GA,11600,13153,4680.0,,"MACON, GA",47580.0,"Warner Robins, GA",South,HOUSTON,GA,11600,13153,4680.0,,"MACON, GA",47580.0,"Warner Robins, GA"
County,GA,Muscogee County,13215,2.1,1.5,1.3,0.9,1.0,1.5,0.8,MUSCOGEE,GA,11780,13215,1800.0,,"COLUMBUS, GA-AL",17980.0,"Columbus, GA-AL",South,MUSCOGEE,GA,11780,13215,1800.0,,"COLUMBUS, GA-AL",17980.0,"Columbus, GA-AL"
County,GA,Paulding County,13223,3.1,1.5,1.3,0.8,1.2,1.5,1.4,PAULDING,GA,11810,13223,520.0,L,"ATLANTA, GA",12060.0,"Atlanta-Sandy Springs-Marietta, GA",South,PAULDING,GA,11810,13223,520.0,L,"ATLANTA, GA",12060.0,"Atlanta-Sandy Springs-Marietta, GA"
County,GA,Richmond County,13245,3.4,2.1,1.6,1.6,2.0,1.7,1.7,RICHMOND,GA,11840,13245,600.0,,"AUGUSTA-AIKEN, GA-SC",12260.0,"Augusta-Richmond County, GA-SC",South,RICHMOND,GA,11840,13245,600.0,,"AUGUSTA-AIKEN, GA-SC",12260.0,"Augusta-Richmond County, GA-SC"
County,HI,Hawaii County,15001,1.0,1.0,1.1,1.0,0.7,0.7,0.8,HAWAII,HI,12010,15001,12.0,,HAWAII,,,0,HAWAII,HI,12010,15001,12.0,,HAWAII,,
